Minimum Qualification,Sum of Total No. of Vacancies,Data Upto
10th Pass," 18,87,511 ",30/09/2023
11th," 2,182 ",30/09/2023
12th Pass," 69,64,797 ",30/09/2023
Diploma After 10th," 4,06,920 ",30/09/2023
Diploma After 12th," 6,09,719 ",30/09/2023
Graduate," 48,75,923 ",30/09/2023
ITI," 2,22,396 ",30/09/2023
No Schooling," 7,44,803 ",30/09/2023
NotSpecified,"1,96,856",30/09/2023
PG Diploma," 5,641 ",30/09/2023
PHD / Super Specialist," 34,736 ",30/09/2023
Post Graduate," 5,46,575 ",30/09/2023
Upto 8th," 1,46,991 ",30/09/2023
Upto 9th," 6,97,229 ",30/09/2023
Grand Total,"1,73,42,279",30/09/2023
